,word,expected_information,expected_nb_words
5072,parse,6.944794510362494,66.52080505833251
1186,dates,6.943277603226478,66.59078447037655
6607,streg,6.941249645208897,66.68445518339524
313,aries,6.940397234658616,66.72386706700551
356,asiet,6.938322952321964,66.81987050517017
5682,rosen,6.937156086904674,66.8739369112554
5847,sager,6.9370463923150565,66.8790218306238
1172,danse,6.9288543346158225,67.25986133129683
5637,risen,6.926735200169882,67.3587300577772
6036,sitre,6.925688629895062,67.40761164296588
4264,mares,6.9231472817552255,67.52645670210833
5519,raske,6.921218005721185,67.61681836396414
153,akser,6.9208363239130035,67.63470954885382
307,arges,6.919779614059716,67.6842671079791
462,bares,6.917222130307554,67.80435827675034
819,brase,6.9157286578025445,67.8745854377607
3961,lires,6.915273347963444,67.89600981561405
272,anret,6.914153014163377,67.94875536128667
5478,rages,6.913501263833062,67.97945875127188
480,baser,6.912975465625464,68.00423875730041
6684,sulet,6.912152834510612,68.04302613335194
6350,snert,6.910813566318854,68.10622048041047
6423,soner,6.909225571975151,68.18122721019932
3377,klase,6.907662423487357,68.25514105748826
4273,maser,6.905217518451478,68.37090968151215
6408,soler,6.899599023979449,68.63769548725236
4064,luset,6.899269752120954,68.6533627212878
6359,snoet,6.897793343035889,68.72365639238564
1177,dasen,6.896606192883107,68.78023028577289
3274,karet,6.895691735575645,68.82384069561907
5001,ornes,6.893293500842198,68.9383437507521
6014,siler,6.888822400758442,69.15232407396933
354,asier,6.8882650133317815,69.17904634147489
7169,trues,6.885842019809648,69.29532955705652
7029,tilse,6.8842416784528195,69.37223958194024
360,asket,6.882742040032614,69.444387445005
5739,rutes,6.882632277036159,69.44967110773935
5839,sadel,6.8778475845968,69.68038303545363
3804,laers,6.87768614168816,69.68818096422028
6873,søret,6.875920313161688,69.77353006086032
6566,stier,6.8756439571505155,69.7868968368192
1268,diset,6.873016575247402,69.91410590547268
6800,syret,6.871012277494032,70.01130320984845
3445,knase,6.865646245856766,70.27219161045484
1751,faset,6.865349144251725,70.28666461426225
5893,sarge,6.865067936802311,70.3003660962391
6072,skare,6.865052464623027,70.3011200363787
5735,ruste,6.864475407398408,70.32924509566645
5008,oster,6.861963276374946,70.45181444254808
3545,korse,6.86020027974957,70.53796032201166
6398,sodet,6.857454388794885,70.67234353121924
6948,taske,6.857187224609826,70.68543213752893
3091,isnet,6.857031462159588,70.69306419432338
7096,tonse,6.856275089533569,70.7301366983375
5850,sagte,6.855798884266302,70.75348717934746
6433,soten,6.854555726262119,70.8144811306202
5796,ræset,6.853007943625661,70.89049458934358
5589,resat,6.850573234872066,71.01023120985468
5910,savet,6.847887616549786,71.14254190996405
6033,siten,6.847324431192709,71.170319269784
5729,rusen,6.844696779701718,71.30006339426257
1158,dales,6.841990157884861,71.43395409239167
5876,samer,6.841943540848533,71.4362623369895
5610,ridse,6.841761241255399,71.44528962550726
4279,maste,6.838083180179671,71.62766731933306
358,asker,6.837332481020022,71.66494811690848
3966,liste,6.83708387170651,71.67729868874706
6076,skate,6.83558965606865,71.75157413832824
6895,tages,6.835120856397816,71.77489339785222
135,agres,6.834877139093411,71.787019495659
3805,laets,6.8303908793129695,72.01059860714433
4061,lures,6.828230509061235,72.11851198312431
2239,gates,6.827753439285488,72.14236404513262
7093,tones,6.8241068016758515,72.32494582094105
7679,vares,6.823449884174576,72.3578857978206
322,armes,6.820337407341974,72.51415954145232
3254,kanes,6.819700293446711,72.54618985975725
339,arten,6.818780728649666,72.59244508733036
5883,sande,6.813530191545134,72.85711900264707
2035,frase,6.81296787483902,72.88552192856989
3619,ksiet,6.812408751402303,72.9137745392677
3800,lades,6.812143588278158,72.92717710916726
5527,raten,6.810997676851248,72.98512510264534
488,baste,6.80944477066703,73.06372804329546
3586,krise,6.809147350269177,73.07879212998994
6526,stade,6.808695394393017,73.10168925139374
6682,suler,6.807406781204023,73.1670127468862
1315,doser,6.8062109319131725,73.22768599441552
6372,snuet,6.799759582745587,73.55587400116241
4801,oasen,6.799171009448757,73.58588856024679
7691,vaser,6.797590598351186,73.66654294215789
6597,store,6.792983128711736,73.90218451377123
2233,gasen,6.792302450535503,73.93706054196197
6061,skaen,6.7891633795541235,74.09811076878852
4718,nurse,6.789086884242681,74.1020397407282
1737,fares,6.788442862490421,74.13512641365827
3956,linse,6.788392801483757,74.1376989209055
6995,terns,6.787780235100879,74.16918437247887
1749,faser,6.786197381421309,74.25060379154948
7139,trens,6.78554440581466,74.28421783015513
4284,mates,6.783994613489405,74.3640593526034
5723,runes,6.782631535374923,74.43435274038016
5846,sagen,6.78250520508656,74.44087090582343
306,arens,6.781048762839059,74.51605905760982
4976,ordes,6.779855638462188,74.57771013260484
5641,risle,6.779732361783991,74.58408298682467
5840,sadle,6.779528734085332,74.59461082299173
6396,soder,6.7792394153197675,74.60957156261333
6907,taler,6.7772437723976555,74.71284847654928
6124,skred,6.776940604619244,74.72855027610211
6407,solen,6.775627861884727,74.79657851746464
3842,laske,6.775494519070229,74.80349200017318
5889,sanke,6.775049037307985,74.82659372016684
152,aksen,6.770162225343354,75.08048209243745
5908,saver,6.7700460429273805,75.0865286808041
6013,silen,6.767398020425688,75.2244742600895
3089,isner,6.7654583648278965,75.32567908696718
7582,urnes,6.764727766197226,75.36383460385944
318,arket,6.764099465230226,75.39666308191602
5991,sider,6.763995186751446,75.40211297483052
